"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HER2_pY1248"	11.851232732314	1.2997783753898	0.122022499381866	10.6519566635181	1.70737989213844e-26	3.09035760477058e-24
"SCD1"	62.4332848342156	-0.53191705693861	0.0533904128026442	-9.96278224903079	2.21767969027175e-23	2.00700011969594e-21
"53BP1"	63.2659457010526	-0.307829136892133	0.0319804613238895	-9.62553772362824	6.23797951739564e-22	3.76358097549537e-20
"ACC1"	61.8533414535133	-0.407378997846572	0.0432980850374627	-9.40870704776195	5.02277237950165e-21	2.2728045017245e-19
"HER2"	28.8674829533143	0.765351876637145	0.0838199641335668	9.13090198198557	6.79309262302006e-20	2.45909952953326e-18
"EGFR_pY1173"	10.1504777166704	1.25924642156185	0.148428880786903	8.48383693851152	2.1788704923633e-17	6.57292598529596e-16
"ACC_pS79"	46.1276921561586	-0.472403125546343	0.0573000485087314	-8.24437566530782	1.66024790419751e-16	4.05861587656993e-15
"IGFBP2"	27.9718365936103	0.681361280335779	0.0827385338559158	8.23511426395745	1.79386337085964e-16	4.05861587656993e-15
"Syk"	35.8067003550512	0.504738035065736	0.0627597393169709	8.042385780421	8.81059991070992e-16	1.77190953759833e-14
"A-Raf_pS299"	40.6706324112729	-0.617628594288608	0.0774430342659803	-7.97526336800473	1.52056222356468e-15	2.75221762465207e-14
"PI3K-p110-alpha"	55.9494123578776	-0.376585083225465	0.0493980169441701	-7.62348585067865	2.46915376396783e-14	4.06288028434707e-13
"AR"	33.9545678096625	0.562811633329361	0.0742595521474354	7.57897963364971	3.4828317162249e-14	4.59772854517276e-13
"EGFR_pY1068"	14.4288803026753	0.950337312100901	0.125135895573436	7.59444208830705	3.09121356082637e-14	4.59772854517276e-13
"Rab25"	57.9620220166024	-0.413561095357794	0.054586356862823	-7.57627215161261	3.55625412333805e-14	4.59772854517276e-13
"ER-alpha"	41.5133080736003	-0.637187777660821	0.0878932283231433	-7.24956620455642	4.18108554418264e-13	5.04517655664705e-12
"ADAR1"	42.1436140861841	-0.557011001390915	0.0775330230380143	-7.18417752288356	6.76129659030204e-13	7.64871676777918e-12
"FASN"	57.6131836036595	-0.360121484702742	0.0503221346229962	-7.15632370130368	8.28693339203488e-13	8.82314672916655e-12
"Bax"	30.4161757404978	0.537063338822613	0.075783274329964	7.086832069095	1.37216718642427e-12	1.31557169053035e-11
"N-Ras"	60.9403649032659	-0.368581479689047	0.0520158541144598	-7.08594496743225	1.3809868574628e-12	1.31557169053035e-11
"Annexin_VII"	47.0419703519397	-0.339393779473714	0.0484456964409532	-7.00565384352304	2.45835036189643e-12	2.22480707751627e-11
"p53"	34.6643976451205	-0.420006918232051	0.0610113054182687	-6.88408345556048	5.81607722460659e-12	5.01290465549425e-11
"PKC-alpha"	54.6698041682178	-0.343038605120865	0.0512450673099249	-6.69408048673648	2.17031946560195e-11	1.78558101488161e-10
"IRS1"	50.4273481354318	-0.41814963909668	0.0630102229284562	-6.6362190080086	3.21831561927592e-11	2.53267446560409e-10
"CD31"	45.7651550963013	-0.474380259161804	0.0717641462674433	-6.61026827231988	3.83624179916271e-11	2.89316569020187e-10
"PKC-alpha_pS657"	50.6106375241162	-0.357750913048024	0.0543563746566953	-6.581581558879	4.65470054154227e-11	3.37000319207661e-10
"14-3-3_epsilon"	45.2693793350327	-0.492266123522845	0.0749920236678994	-6.56424642843131	5.22966541984519e-11	3.640651696123e-10
"Smad4"	42.8900843316685	-0.43458226606943	0.0663577869765418	-6.54907714482793	5.78937212102202e-11	3.88102353298143e-10
"NF2"	54.4732752227729	-0.356570057822393	0.0546214261642116	-6.5280254080224	6.66423939865814e-11	4.30795475413259e-10
"HER3_pY1289"	27.5684703278875	-0.648520786218722	0.101173216402453	-6.410004636395	1.4551521111341e-10	9.08215627983694e-10
"Rictor"	57.5314806378692	-0.278948464935941	0.0440502683430246	-6.33250319302793	2.4121529368145e-10	1.40838606955943e-09
"TFRC"	28.6991095929919	0.409880871631063	0.064692450172243	6.33583780703559	2.3605500986509e-10	1.40838606955943e-09
"EGFR"	34.7431283345416	0.539607088366409	0.0867081657885441	6.22325571598819	4.86942746275168e-10	2.75426990861892e-09
"GATA3"	31.5863653673337	-0.515027036677949	0.0828564696141764	-6.21589405240397	5.10332303304973e-10	2.79909536055152e-09
"PI3K-p85"	65.362206576126	-0.232708959645659	0.0377116117328755	-6.17075083648022	6.79664563501124e-10	3.61821429393245e-09
"STAT5-alpha"	51.6288995976089	0.260936712077889	0.042344422627258	6.16224512906497	7.17207107889783e-10	3.70898532937288e-09
"P-Cadherin"	53.3146955358712	-0.327754765173425	0.055553511290522	-5.89980286681436	3.6393613980267e-09	1.82979003623009e-08
"Bad_pS112"	25.7236201287538	0.523704172129828	0.0888496482669942	5.89427400495825	3.76332256252607e-09	1.84097671301951e-08
"PAI-1"	23.6641208752854	0.555108173867807	0.0951807127602491	5.8321497892758	5.47177637377657e-09	2.60629348329884e-08
"PEA15"	40.3117833268129	-0.444116264410728	0.0767351234369465	-5.78765296149761	7.13766821386848e-09	3.31261011976973e-08
"Ku80"	54.5440979658115	-0.296773725367426	0.052076282073226	-5.69882705816293	1.20634522621404e-08	5.45871214861852e-08
"Bim"	32.4572812635946	-0.577577400632151	0.101835737495895	-5.67165726722837	1.4142269085078e-08	6.09464453428363e-08
"G6PD"	45.353209478128	-0.284939531813639	0.0502146709984645	-5.67442793406636	1.39152880856249e-08	6.09464453428363e-08
"PKC-pan_BetaII_pS660"	46.8992620626514	-0.395187013116861	0.0704156307163028	-5.61220582840517	1.9976362227016e-08	8.40865479788348e-08
"p27"	30.4566867452744	-0.483278193791353	0.0869216556159497	-5.55992853986404	2.69885131212531e-08	1.11020928976064e-07
"Beclin"	55.2995180743782	-0.296906733227492	0.0538572379094488	-5.51284738602241	3.53074375053466e-08	1.42014359743728e-07
"p70S6K"	67.4247472490819	-0.195516890346489	0.036704533821932	-5.32677764809703	9.9970418656032e-08	3.93361864711778e-07
"Mre11"	32.9360656931693	-0.425406489491347	0.0802833459771899	-5.29881364949853	1.16557517559943e-07	4.48870439964886e-07
"TAZ"	21.3015845132089	0.534778685804704	0.101087231684756	5.29026937321254	1.22136342346942e-07	4.6055579093326e-07
"4E-BP1_pT37_T46"	48.2710704985806	-0.400879576698597	0.076165803623005	-5.26324882860575	1.41531818650713e-07	5.22801207668959e-07
"c-Kit"	38.1021199956618	-0.520684705926416	0.101894749093408	-5.11002490863486	3.22116341303764e-07	1.16606115551963e-06
"INPP4B"	59.3715669393381	-0.352641392506866	0.0701804109482669	-5.02478380707707	5.03999968483952e-07	1.78870577050187e-06
"Caspase-7_cleavedD198"	34.8563696175602	-0.441447694732886	0.0879487046099389	-5.01937688213544	5.18393569648592e-07	1.80440838666144e-06
"CD20"	52.3768218883073	-0.188659675588497	0.037922781505602	-4.97483750132168	6.53023963917378e-07	2.23013844281218e-06
"PR"	46.9047326354324	-0.436306955976299	0.0881920234545871	-4.94723829758785	7.52738041302039e-07	2.47719246319398e-06
"PTEN"	58.6172047692857	-0.367846622117927	0.0743175393040671	-4.94966094898404	7.4342877136899e-07	2.47719246319398e-06
"Bak"	34.5463599160627	-0.435395561319256	0.0884988167215852	-4.91978963615974	8.66372766348096e-07	2.8002405483751e-06
"YAP"	24.1087656691353	0.361320838131755	0.073609510895457	4.9086162064698	9.1721274656416e-07	2.91255275663356e-06
"Tuberin"	68.7522240960919	-0.218666690811535	0.0446960371991183	-4.89230599655596	9.96613358205374e-07	3.11012099715815e-06
"Dvl3"	35.212818542502	-0.329824217840412	0.0702867977121531	-4.69254865175603	2.69822339832273e-06	8.27760059485448e-06
"PDK1_pS241"	69.1278442077942	-0.216800574278507	0.0471115571598674	-4.60185541188587	4.18743864360238e-06	1.26321065748672e-05
"Bap1-c-4"	47.728168940381	-0.222136094946563	0.0485319752153553	-4.57710806042529	4.71447961023371e-06	1.39888657287263e-05
"Heregulin"	54.3530155807765	-0.389736476736361	0.0853525765057324	-4.56619463280274	4.96657659268191e-06	1.44991994076682e-05
"TIGAR"	16.8236073971383	0.353281556796116	0.0800253849168715	4.41461865085806	1.01188205843401e-05	2.90715321550089e-05
