"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Syk"	40.2513741345352	0.611261189892892	0.0482594972531141	12.6661325684127	9.10960473419001e-37	1.64883845688839e-34
"AR"	37.5526673513629	0.631750389147172	0.0562233221383887	11.2364471738645	2.70032411906741e-29	2.44379332775601e-27
"DJ-1"	42.8904543112228	0.40640568018904	0.0390001819963916	10.4206098378372	1.99668770076834e-25	1.20466824613023e-23
"PRDX1"	33.0416190443524	0.441553224329515	0.0574750891866629	7.68251481777565	1.55995492616326e-14	7.05879604088874e-13
"YAP"	24.4058472509489	0.322335162532365	0.0426593797250246	7.55602084723418	4.15587265580618e-14	1.50442590140184e-12
"FASN"	55.8950647422315	-0.200923481319056	0.0266871222087728	-7.52885529384679	5.11870713200998e-14	1.54414331815634e-12
"YAP_pS127"	36.5784498475796	0.319304001296872	0.045892658086505	6.95762709353209	3.4605172521472e-12	8.94790889483777e-11
"mTOR"	74.018838593193	0.149646011470273	0.0216912193786452	6.89892111909569	5.23989550152058e-12	1.18552635721903e-10
"TIGAR"	19.0159511559789	0.508016370677126	0.0783599324966666	6.48311393962389	8.98485917838437e-11	1.80695501254175e-09
"c-Kit"	34.696614345977	-0.432962883462659	0.06726257242697	-6.43690640783545	1.2193306513549e-10	2.20698847895237e-09
"Cyclin_E1"	40.073251336148	0.217812872225775	0.0343815576686742	6.33516591437709	2.37086007201361e-10	3.90114248213148e-09
"CDK1"	20.1363650566943	0.431094260433423	0.0713441907781073	6.04245777731505	1.51784078018427e-09	2.28940984344461e-08
"E-Cadherin"	44.2246821807237	0.280108557953751	0.0468856850708106	5.97428740842131	2.31098073749624e-09	3.21759625759092e-08
"alpha-Catenin"	49.1404708274345	0.23965600386987	0.0411621034483411	5.82224871405421	5.80610582726824e-09	7.50646539096822e-08
"ACC1"	61.9525230748481	-0.148306467251289	0.0258439876739513	-5.7385287875203	9.55025318069173e-09	1.1523972171368e-07
"CD49b"	36.1733557268151	0.316274883292088	0.0557108324284673	5.67708055158186	1.37012963453422e-08	1.54995914906684e-07
"HER3_pY1289"	26.7307523309297	-0.393021959867321	0.0704223832898572	-5.58092386975388	2.39244352798689e-08	2.54724869744487e-07
"ACC_pS79"	46.0829863030448	-0.202459990365777	0.0374850795165252	-5.40108205656929	6.62401149781062e-08	6.66081156168734e-07
"STAT3_pY705"	32.6951590020554	0.448709736004853	0.0855085624722347	5.2475415681389	1.54142277536217e-07	1.46278524917611e-06
"VEGFR2"	32.1611670302319	0.265929121706491	0.0507615639623631	5.2387889763141	1.6163372919073e-07	1.46278524917611e-06
"Cyclin_B1"	32.1166348543807	0.251451345634165	0.0496779816758129	5.06162563678772	4.15696663908404e-07	3.58290934130577e-06
"p53"	38.9651225284245	0.163816151322438	0.0336884555085348	4.86267918340559	1.15807463469935e-06	9.52779585820826e-06
"IRS1"	50.0000220108822	-0.159385876405827	0.0334742539983014	-4.76144670509803	1.92210061332173e-06	1.51260961309232e-05
"Src_pY527"	59.8518775163496	0.207139904018071	0.0446206148074307	4.64224674877353	3.44640932503067e-06	2.5991670326273e-05
"YB-1_pS102"	35.4260899485338	0.214800957184657	0.0477481429532595	4.4986243212626	6.83945962337655e-06	4.95176876732462e-05
"Chk2"	40.8044334329068	0.200278141703894	0.0446379509232294	4.48672346202321	7.23268529171204e-06	5.03506168384569e-05
"PDK1"	48.420518558618	-0.210905434676407	0.0472244460287162	-4.46602241873117	7.96872631554805e-06	5.34199801153406e-05
"ERK2"	39.2793938841217	0.278828852468138	0.0630822564632496	4.42008368281148	9.86626874133813e-06	6.37783800779358e-05
"PEA15"	46.5675649029262	0.201931906702195	0.0459607931152369	4.39356880104078	1.115048783299e-05	6.95944240610752e-05
"PDCD4"	45.8077576054683	0.193701389875049	0.0489181391476168	3.95970478947554	7.50424697561473e-05	0.000452756234195422
"Notch1"	41.6363443272386	-0.121894055996142	0.0310207700925567	-3.92943359021864	8.51461873464566e-05	0.000497143868055117
"EGFR"	27.7827562210294	-0.188515829673731	0.048284793031963	-3.90424847734026	9.45186336085672e-05	0.000534621021348458
"MAPK_pT202_Y204"	46.9964535105883	0.238045773460367	0.0630645789241453	3.77463510454404	0.000160242045232926	0.000878903339004835
"p27_pT157"	23.216244516878	-0.204198203666075	0.0555602234666771	-3.67525886191846	0.000237608372801013	0.00126491516108775
"ACVRL1"	29.7803169890132	0.197567825683751	0.0541328393734533	3.64968525520644	0.000262561825868594	0.00133335071354791
"Bad_pS112"	24.9556166752336	0.260983892837849	0.0715589132957574	3.64711928700184	0.000265196827004004	0.00133335071354791
"PDK1_pS241"	67.803467395171	-0.0910005882765239	0.0254167731117308	-3.58033601970204	0.000343152639377385	0.00167866561425153
"XRCC1"	46.7522229819192	0.131716727409	0.0373104730188713	3.53028832795496	0.000415107024012722	0.00197722029858691
"STAT5-alpha"	49.8259656778039	0.118384044749408	0.0338199403559914	3.50042145264857	0.000464523111487543	0.0021558636712627
"p27"	30.5225972332811	-0.184321201953335	0.0537887525183616	-3.42676104805395	0.00061082632417802	0.00276398911690554
"GSK3-alpha-beta_pS21_S9"	46.6004759559581	0.155000648018495	0.0455700101672365	3.401374005616	0.000670480277404454	0.0029599251270782
"Annexin_VII"	50.4640163976788	0.0794695315817884	0.0234863787905864	3.38364344245529	0.000715308313044099	0.00308263820621386
"PRAS40_pT246"	37.539947172631	0.224069196873054	0.0671261834343707	3.33802974352216	0.00084374716978757	0.00355158692398954
"53BP1"	63.8279116683848	-0.0950334160969566	0.029100561083171	-3.26569016402625	0.00109197657860218	0.00445077205993389
